ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
A Thousand Years,Christina Perri,-,4:47,https://www.youtube.com/embed/rtOvBOTyX00?si=RjxL9iNK7l9GZE4V,Pop,Night party,English
Can’t Take My Eyes Off You,Frankie Valli,-,3:22,https://www.youtube.com/embed/J36z7AnhvOM?si=d0U_Z37BABZjUS6y,Pop,Night party,English
The Look of Love,Dusty Springfield,-,4:17,https://www.youtube.com/embed/Tf1d65OHYXo?si=3xxQkDqZU7G2-ZAy,Pop,Night party,English
Your Song,Elton John,-,3:48,https://www.youtube.com/embed/GlPlfCy1urI?si=Wwlgzb1zPv5tS2kk,Pop,Night party,English
All of Me,John Legend,-,5:07,https://www.youtube.com/embed/450p7goxZqg?si=Oq6cYekv4s72NFhS,Pop,Night party,English
Halo,Beyoncé,-,3:44,https://www.youtube.com/embed/bnVUHWCynig?si=ZH6Hm_kWXL7PWnNn,Pop,Night party,English
Gravity,John Mayer,-,4:05,https://www.youtube.com/embed/_iGOWk-r614?si=ZWNniajosvAX5GTC,Pop,Night party,English
At Last,Etta James,-,2:59,https://www.youtube.com/embed/1qJU8G7gR_g?si=uUFeCNs4MmDMQ89_,"Jazz,Romantic",Night party,English
Let’s Stay Together,Al Green,-,3:19,https://www.youtube.com/embed/XXx6RDzR6eM?si=cqwLRzgT2lFuLx-U,R&B,Night party,English
I Will Always Love You,Whitney Houston,-,4:34,https://www.youtube.com/embed/3JWTaaS7LdU?si=1zM8l6yUKCIqASv0,"Pop,Romantic,Country",Night party,English
Wonderful Tonight,Eric Clapton,-,3:41,https://www.youtube.com/embed/Pu5c4aEg3NM?si=jmilELhV4cKkWnnU,"Rock,Romantic",Night party,English
When a Man Loves a Woman,Percy Sledge,-,2:55,https://www.youtube.com/embed/KwPxhWU1koE?si=IKyKAxrrMFhrsZkQ,"R&B,Romantic",Night party,English
Make You Feel My Love,Adele,-,3:32,https://www.youtube.com/embed/9IzKueQ2ZxY?si=9hsY7ps6hkB2jygy,"Pop,Romantic,Country",Night party,English
Just the Way You Are,Billy Joel,-,4:51,https://www.youtube.com/embed/HaA3YZ6QdJU?si=O-SoMPfdvj43Gn-R,"Pop,Romantic,R&B",Night party,English
If I Ain’t Got You,Alicia Keys,-,3:29,https://www.youtube.com/embed/Ju8Hr50Ckwk?si=yA00CKzjxN1aiBp8,"R&B,Pop,Romantic",Night party,English
Ain’t No Mountain High Enough,Marvin Gaye & Tammi Terrell,-,2:31,https://www.youtube.com/embed/ABfQuZqq8wg?si=bAfRNBgdO5ryTxyd,"R&B,Retro",Night party,English
Endless Love,Diana Ross & Lionel Richie,-,4:28,https://www.youtube.com/embed/Sv8XHiTkDYg?si=btSr2_6c2e7qKtLs,"Pop,Romantic",Night party,English
WIM,Magic,-,3:25,https://www.youtube.com/embed/eNVpmZM2XDA?si=tYogZLej23H10TcC,"Pop,Indie",Night party,English
Moonlit Floor,Lisa,-,2:36,https://www.youtube.com/embed/pxGM_TOgHuM?si=AN_PtbpkCvqdjIuM,"Pop,Jazz",Night party,English
Sumflower,"Post Malone , Swae Lee",-,2:41,https://www.youtube.com/embed/ApXoWvfEYVU?si=0LLJuCVV6DrY-0n0,"Hip-Hop,Pop",Night party,English
Would You MInd,HYBS,-,3:33,https://www.youtube.com/embed/WW6VE7ROcyA?si=BFF0fm8WnzEf5YPM,"R&B,Pop",Night party,English
Night and Day, Frank Sinatra,-,4:03,https://www.youtube.com/embed/E10L8G67ozU?si=K9l4GKJfzmjDnxPq,Jazz,Night party,English
The Girl from Ipanema ,Stan Getz & Astrud Gilberto,-,5:24,https://www.youtube.com/embed/c5QfXjsoNe4?si=NMLUa4u9KWkUfnXB,Jazz,Night party,English
My Favorite Things ,John Coltrane,-,13:46,https://www.youtube.com/embed/qWG2dsXV5HI?si=c94bpjJne9EF4F5Y,Jazz,Night party,English
Blue Monk ,Thelonious Monk,-,3:47,https://www.youtube.com/embed/b1kO5KYGLts?si=kiH33T23ZN7-3fIb,Jazz,Night party,English
It Had to Be You, Harry Connick Jr.,-,2:39,https://www.youtube.com/embed/_UnQOfPwZfs?si=2XM7dPpKxRg1B8Av,Jazz,Night party,English
Cheek to Cheek,Fred Astaire,-,3:22,https://www.youtube.com/embed/0QYdcHQXwdM?si=JLSS6alYZyvuVaOb,Jazz,Night party,English
Moanin’,Charles Mingus,-,9:02,https://www.youtube.com/embed/__OSyznVDOY?si=DCBioGwU_IP8uC4M,Jazz,Night party,English
Don’t Know Why,Norah Jones,-,3:02,https://www.youtube.com/embed/tO4dxvguQDk?si=S3-piyU5uLZVuEeM,Jazz,Night party,English
Misty, Erroll Garner,-,2:49,https://www.youtube.com/embed/UOLEEkYO4MA?si=W-Jpb9RTjFa86_K1,Jazz,Night party,English
Beautiful Day,U2,-,4:03,https://www.youtube.com/embed/co6WMzDOh1o?si=pxR7Orfg7kp26qlV,Pop,Night party,English
